arquivo,classe,area_relativa,aspect_ratio,solidez,circularidade,perimetro_norm,convexidade,excentricidade,exg_medio,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,zernike_1,zernike_2,zernike_3,zernike_4
270_IMG_20260419_160909614_HDR.jpg,milho,0.007039,0.5881,0.0865,0.1165,10.3868,1.0596,0.9034,103.0029,2.688473,6.131852,8.573792,8.44928,17.045636,-11.535133,-17.205976,0.31831,0.006225,0.779613,0.056866
0_coleta_20260420_161949_milho_20260420_160047.jpg,milho,0.085015,1.3333,0.085,0.0056,47.1912,0.2695,0.3886,98.6553,2.204069,5.395511,6.856418,7.686332,15.118408,10.519015,15.098491,0.31831,0.019285,0.243962,0.097935
90_coleta_20260420_161949_milho_20260420_160047.jpg,milho,0.085015,0.75,0.085,0.0056,47.1912,0.2695,0.3886,98.6553,2.204069,5.395511,6.856418,7.686332,15.118408,10.519015,15.098491,0.31831,0.019285,0.243962,0.097935
180_coleta_20260420_161949_milho_20260420_160047.jpg,milho,0.085015,1.3333,0.085,0.0056,47.1912,0.2695,0.3886,98.6553,2.204069,5.395511,6.856418,7.686332,15.118408,10.519015,15.098491,0.31831,0.019285,0.243962,0.097935
270_coleta_20260420_161949_milho_20260420_160047.jpg,milho,0.085015,0.75,0.085,0.0056,47.1912,0.2695,0.3886,98.6553,2.204069,5.395511,6.856418,7.686332,15.118408,10.519015,15.098491,0.31831,0.019285,0.243962,0.097935
0_coleta_20260424_082906_milho_20260424_081750.jpg,milho,0.010444,1.0387,0.0134,0.0077,40.2729,0.7404,0.659,107.5535,1.590373,4.802738,5.378829,5.009676,10.634053,7.441171,10.236164,0.31831,0.08185,0.581979,0.078706
90_coleta_20260424_082906_milho_20260424_081750.jpg,milho,0.010444,0.9628,0.0134,0.0077,40.2729,0.7404,0.659,107.5535,1.590373,4.802738,5.378829,5.009676,10.634053,7.441171,10.236164,0.31831,0.08185,0.581979,0.078706
180_coleta_20260424_082906_milho_20260424_081750.jpg,milho,0.010444,1.0387,0.0134,0.0077,40.2729,0.7404,0.659,107.5535,1.590373,4.802738,5.378829,5.009676,10.634053,7.441171,10.236164,0.31831,0.08185,0.581979,0.078706
270_coleta_20260424_082906_milho_20260424_081750.jpg,milho,0.010444,0.9628,0.0134,0.0077,40.2729,0.7404,0.659,107.5535,1.590373,4.802738,5.378829,5.009676,10.634053,7.441171,10.236164,0.31831,0.08185,0.581979,0.078706
0_coleta_20260423_083103_milho_20260423_082800.jpg,milho,0.01127,1.3779,0.0123,0.0313,20.0477,1.5881,0.7944,123.259,2.266585,5.819505,7.077669,6.900709,14.544396,10.480013,-13.900828,0.31831,0.002247,0.87132,0.011353
90_coleta_20260423_083103_milho_20260423_082800.jpg,milho,0.01127,0.7258,0.0123,0.0313,20.0477,1.5881,0.7944,123.259,2.266585,5.819505,7.077669,6.900709,14.544396,10.480013,-13.900828,0.31831,0.002247,0.87132,0.011353
180_coleta_20260423_083103_milho_20260423_082800.jpg,milho,0.01127,1.3779,0.0123,0.0313,20.0477,1.5881,0.7944,123.259,2.266585,5.819505,7.077669,6.900709,14.544396,10.480013,-13.900828,0.31831,0.002247,0.87132,0.011353
270_coleta_20260423_083103_milho_20260423_082800.jpg,milho,0.01127,0.7258,0.0123,0.0313,20.0477,1.5881,0.7944,123.259,2.266585,5.819505,7.077669,6.900709,14.544396,10.480013,-13.900828,0.31831,0.002247,0.87132,0.011353
0_coleta_20260423_083324_milho_20260423_082733.jpg,milho,0.00445,1.32,0.0045,0.0146,29.3248,1.9441,0.5888,84.3414,0.805569,1.932525,3.653307,4.589356,-8.746065,-5.614704,9.122147,0.31831,0.074971,0.512844,0.074486
90_coleta_20260423_083324_milho_20260423_082733.jpg,milho,0.00445,0.7576,0.0045,0.0146,29.3248,1.9441,0.5888,84.3414,0.805569,1.932525,3.653307,4.589356,-8.746065,-5.614704,9.122147,0.31831,0.074971,0.512844,0.074486
180_coleta_20260423_083324_milho_20260423_082733.jpg,milho,0.00445,1.32,0.0045,0.0146,29.3248,1.9441,0.5888,84.3414,0.805569,1.932525,3.653307,4.589356,-8.746065,-5.614704,9.122147,0.31831,0.074971,0.512844,0.074486
270_coleta_20260423_083324_milho_20260423_082733.jpg,milho,0.00445,0.7576,0.0045,0.0146,29.3248,1.9441,0.5888,84.3414,0.805569,1.932525,3.653307,4.589356,-8.746065,-5.614704,9.122147,0.31831,0.074971,0.512844,0.074486
0_coleta_20260421_145943_milho_20260421_145402.jpg,milho,0.01368,0.8109,0.0342,0.07,13.3998,1.2203,0.9287,94.2129,2.325808,5.564169,6.801826,7.154222,14.146799,10.761555,-14.726374,0.31831,0.028763,0.790005,0.062467
90_coleta_20260421_145943_milho_20260421_145402.jpg,milho,0.01368,1.2331,0.0342,0.07,13.3998,1.2203,0.9287,94.2129,2.325808,5.564169,6.801826,7.154222,14.146799,10.761555,-14.726374,0.31831,0.028763,0.790005,0.062467
180_coleta_20260421_145943_milho_20260421_145402.jpg,milho,0.01368,0.8109,0.0342,0.07,13.3998,1.2203,0.9287,94.2129,2.325808,5.564169,6.801826,7.154222,14.146799,10.761555,-14.726374,0.31831,0.028763,0.790005,0.062467
270_coleta_20260421_145943_milho_20260421_145402.jpg,milho,0.01368,1.2331,0.0342,0.07,13.3998,1.2203,0.9287,94.2129,2.325808,5.564169,6.801826,7.154222,14.146799,10.761555,-14.726374,0.31831,0.028763,0.790005,0.062467
0_coleta_20260423_084051_milho_20260423_082248.jpg,milho,0.009474,1.0724,0.0123,0.0095,36.2974,0.8171,0.4919,99.6529,1.833809,4.525541,6.326617,6.819546,13.480875,9.131484,13.630783,0.31831,0.003677,0.639817,0.059542
90_coleta_20260423_084051_milho_20260423_082248.jpg,milho,0.009474,0.9325,0.0123,0.0095,36.2974,0.8171,0.4919,99.6529,1.833809,4.525541,6.326617,6.819546,13.480875,9.131484,13.630783,0.31831,0.003677,0.639817,0.059542
180_coleta_20260423_084051_milho_20260423_082248.jpg,milho,0.009474,1.0724,0.0123,0.0095,36.2974,0.8171,0.4919,99.6529,1.833809,4.525541,6.326617,6.819546,13.480875,9.131484,13.630783,0.31831,0.003677,0.639817,0.059542
270_coleta_20260423_084051_milho_20260423_082248.jpg,milho,0.009474,0.9325,0.0123,0.0095,36.2974,0.8171,0.4919,99.6529,1.833809,4.525541,6.326617,6.819546,13.480875,9.131484,13.630783,0.31831,0.003677,0.639817,0.059542
0_coleta_20260424_082831_milho_20260424_081830.jpg,milho,0.004797,1.2332,0.0056,0.0247,22.5383,1.9002,0.9012,98.2099,1.722743,4.083398,4.53753,4.498883,9.061396,6.543614,-9.384007,0.31831,0.021522,0.867326,0.018921
90_coleta_20260424_082831_milho_20260424_081830.jpg,milho,0.004797,0.8109,0.0056,0.0247,22.5383,1.9002,0.9012,98.2099,1.722743,4.083398,4.53753,4.498883,9.061396,6.543614,-9.384007,0.31831,0.021522,0.867326,0.018921
180_coleta_20260424_082831_milho_20260424_081830.jpg,milho,0.004797,1.2332,0.0056,0.0247,22.5383,1.9002,0.9012,98.2099,1.722743,4.083398,4.53753,4.498883,9.061396,6.543614,-9.384007,0.31831,0.021522,0.867326,0.018921
270_coleta_20260424_082831_milho_20260424_081830.jpg,milho,0.004797,0.8109,0.0056,0.0247,22.5383,1.9002,0.9012,98.2099,1.722743,4.083398,4.53753,4.498883,9.061396,6.543614,-9.384007,0.31831,0.021522,0.867326,0.018921
0_IMG_20260419_160855961_HDR.jpg,milho,0.031767,2.0676,0.0897,0.0313,20.0439,0.6023,0.8643,110.3892,2.435391,5.206048,7.838244,8.089715,16.098843,10.814307,16.416934,0.31831,0.013058,0.691423,0.083193
90_IMG_20260419_160855961_HDR.jpg,milho,0.031767,0.4836,0.0897,0.0313,20.0439,0.6023,0.8643,110.3892,2.435391,5.206048,7.838244,8.089715,16.098843,10.814307,16.416934,0.31831,0.013058,0.691423,0.083193
180_IMG_20260419_160855961_HDR.jpg,milho,0.031767,2.0676,0.0897,0.0313,20.0439,0.6023,0.8643,110.3892,2.435391,5.206048,7.838244,8.089715,16.098843,10.814307,16.416934,0.31831,0.013058,0.691423,0.083193
